"datadate","gvkey","iid","prccd"
"2022-01-10 00:00:00","001690","01","172.19000000"
"2022-01-10 00:00:00","064768","01","3229.72000000"
"2022-01-07 00:00:00","001690","01","172.17000000"
"2022-01-07 00:00:00","064768","01","3251.08000000"
"2022-01-06 00:00:00","001690","01","172.00000000"
"2022-01-06 00:00:00","064768","01","3265.08000000"
"2022-01-05 00:00:00","064768","01","3287.14000000"
"2022-01-05 00:00:00","001690","01","174.92000000"
"2022-01-04 00:00:00","001690","01","179.70000000"
"2022-01-04 00:00:00","064768","01","3350.44000000"
"2022-01-03 00:00:00","001690","01","182.01000000"
"2022-01-03 00:00:00","064768","01","3408.09000000"
"2021-12-31 00:00:00","001690","01","177.57000000"
"2021-12-31 00:00:00","064768","01","3334.34000000"
"2021-12-30 00:00:00","001690","01","178.20000000"
"2021-12-30 00:00:00","064768","01","3372.89000000"
"2021-12-29 00:00:00","001690","01","179.38000000"
"2021-12-29 00:00:00","064768","01","3384.02000000"
"2021-12-28 00:00:00","001690","01","179.29000000"
"2021-12-28 00:00:00","064768","01","3413.22000000"
"2021-12-27 00:00:00","064768","01","3393.39000000"
"2021-12-27 00:00:00","001690","01","180.33000000"
"2021-12-23 00:00:00","001690","01","176.28000000"
"2021-12-23 00:00:00","064768","01","3421.37000000"
"2021-12-22 00:00:00","001690","01","175.64000000"
"2021-12-22 00:00:00","064768","01","3420.74000000"
"2021-12-21 00:00:00","064768","01","3408.34000000"
"2021-12-21 00:00:00","001690","01","172.99000000"
"2021-12-20 00:00:00","001690","01","169.75000000"
"2021-12-20 00:00:00","064768","01","3341.58000000"
"2021-12-17 00:00:00","001690","01","171.14000000"
"2021-12-17 00:00:00","064768","01","3400.35000000"
"2021-12-16 00:00:00","001690","01","172.26000000"
"2021-12-16 00:00:00","064768","01","3377.42000000"
"2021-12-15 00:00:00","064768","01","3466.30000000"
"2021-12-15 00:00:00","001690","01","179.30000000"
"2021-12-14 00:00:00","064768","01","3381.83000000"
"2021-12-14 00:00:00","001690","01","174.33000000"
"2021-12-13 00:00:00","001690","01","175.74000000"
"2021-12-13 00:00:00","064768","01","3391.35000000"
"2021-12-10 00:00:00","064768","01","3444.24000000"
"2021-12-10 00:00:00","001690","01","179.45000000"
"2021-12-09 00:00:00","001690","01","174.56000000"
"2021-12-09 00:00:00","064768","01","3483.42000000"
"2021-12-08 00:00:00","064768","01","3523.16000000"
"2021-12-08 00:00:00","001690","01","175.08000000"
"2021-12-07 00:00:00","064768","01","3523.29000000"
"2021-12-07 00:00:00","001690","01","171.18000000"
"2021-12-06 00:00:00","064768","01","3427.37000000"
"2021-12-06 00:00:00","001690","01","165.32000000"
"2021-12-03 00:00:00","001690","01","161.84000000"
"2021-12-03 00:00:00","064768","01","3389.79000000"
"2021-12-02 00:00:00","001690","01","163.76000000"
"2021-12-02 00:00:00","064768","01","3437.36000000"
"2021-12-01 00:00:00","001690","01","164.77000000"
"2021-12-01 00:00:00","064768","01","3443.72000000"
"2021-11-30 00:00:00","064768","01","3507.07000000"
"2021-11-30 00:00:00","001690","01","165.30000000"
"2021-11-29 00:00:00","001690","01","160.24000000"
"2021-11-29 00:00:00","064768","01","3561.57000000"
"2021-11-26 00:00:00","001690","01","156.81000000"
"2021-11-26 00:00:00","064768","01","3504.56000000"
"2021-11-24 00:00:00","064768","01","3580.41000000"
"2021-11-24 00:00:00","001690","01","161.94000000"
"2021-11-23 00:00:00","001690","01","161.41000000"
"2021-11-23 00:00:00","064768","01","3580.04000000"
"2021-11-22 00:00:00","064768","01","3572.57000000"
"2021-11-22 00:00:00","001690","01","161.02000000"
"2021-11-19 00:00:00","064768","01","3676.57000000"
"2021-11-19 00:00:00","001690","01","160.55000000"
"2021-11-18 00:00:00","064768","01","3696.06000000"
"2021-11-18 00:00:00","001690","01","157.87000000"
"2021-11-17 00:00:00","064768","01","3549.00000000"
"2021-11-17 00:00:00","001690","01","153.49000000"
"2021-11-16 00:00:00","064768","01","3540.70000000"
"2021-11-16 00:00:00","001690","01","151.00000000"
"2021-11-15 00:00:00","064768","01","3545.68000000"
"2021-11-15 00:00:00","001690","01","150.00000000"
"2021-11-12 00:00:00","001690","01","149.99000000"
"2021-11-12 00:00:00","064768","01","3525.15000000"
"2021-11-11 00:00:00","001690","01","147.87000000"
"2021-11-11 00:00:00","064768","01","3472.50000000"
"2021-11-10 00:00:00","001690","01","147.92000000"
"2021-11-10 00:00:00","064768","01","3482.05000000"
"2021-11-09 00:00:00","064768","01","3576.23000000"
"2021-11-09 00:00:00","001690","01","150.81000000"
"2021-11-08 00:00:00","001690","01","150.44000000"
"2021-11-08 00:00:00","064768","01","3488.98000000"
"2021-11-05 00:00:00","064768","01","3518.99000000"
"2021-11-05 00:00:00","001690","01","151.28000000"
"2021-11-04 00:00:00","064768","01","3477.00000000"
"2021-11-04 00:00:00","001690","01","150.96000000"
"2021-11-03 00:00:00","001690","01","151.49000000"
"2021-11-03 00:00:00","064768","01","3384.00000000"
"2021-11-02 00:00:00","064768","01","3312.75000000"
"2021-11-02 00:00:00","001690","01","150.02000000"
"2021-11-01 00:00:00","001690","01","148.96000000"
"2021-11-01 00:00:00","064768","01","3318.11000000"
"2021-10-29 00:00:00","064768","01","3372.43000000"
"2021-10-29 00:00:00","001690","01","149.80000000"
"2021-10-28 00:00:00","001690","01","152.57000000"
"2021-10-28 00:00:00","064768","01","3446.57000000"
"2021-10-27 00:00:00","001690","01","148.85000000"
"2021-10-27 00:00:00","064768","01","3392.49000000"
"2021-10-26 00:00:00","001690","01","149.32000000"
"2021-10-26 00:00:00","064768","01","3376.07000000"
"2021-10-25 00:00:00","064768","01","3320.37000000"
"2021-10-25 00:00:00","001690","01","148.64000000"
"2021-10-22 00:00:00","001690","01","148.69000000"
"2021-10-22 00:00:00","064768","01","3335.55000000"
"2021-10-21 00:00:00","001690","01","149.48000000"
"2021-10-21 00:00:00","064768","01","3435.01000000"
"2021-10-20 00:00:00","001690","01","149.26000000"
