date,GDPC1
1986-12-31,8268.935
1987-01-31,8313.338
1987-02-28,8313.338
1987-03-31,8313.338
1987-04-30,8313.338
1987-05-31,8375.274
1987-06-30,8375.274
1987-07-31,8375.274
1987-08-31,8465.63
1987-09-30,8465.63
1987-10-31,8539.075
1987-11-30,8539.075
1987-12-31,8539.075
1988-01-31,8685.694
1988-02-29,8685.694
1988-03-31,8685.694
1988-04-30,8685.694
1988-05-31,8730.569
1988-06-30,8730.569
1988-07-31,8730.569
1988-08-31,8845.28
1988-09-30,8845.28
1988-10-31,8897.107
1988-11-30,8897.107
1988-12-31,8897.107
1989-01-31,9015.661
1989-02-28,9015.661
1989-03-31,9015.661
1989-04-30,9015.661
1989-05-31,9107.314
1989-06-30,9107.314
1989-07-31,9107.314
1989-08-31,9176.827
1989-09-30,9176.827
1989-10-31,9244.816
1989-11-30,9244.816
1989-12-31,9244.816
1990-01-31,9263.033
1990-02-28,9263.033
1990-03-31,9263.033
1990-04-30,9263.033
1990-05-31,9364.259
1990-06-30,9364.259
1990-07-31,9364.259
1990-08-31,9398.243
1990-09-30,9398.243
1990-10-31,9404.494
1990-11-30,9404.494
1990-12-31,9404.494
1991-01-31,9318.876
1991-02-28,9318.876
1991-03-31,9318.876
1991-04-30,9318.876
1991-05-31,9275.276
1991-06-30,9275.276
1991-07-31,9275.276
1991-08-31,9347.597
1991-09-30,9347.597
1991-10-31,9394.834
1991-11-30,9394.834
1991-12-31,9394.834
1992-01-31,9427.581
1992-02-29,9427.581
1992-03-31,9427.581
1992-04-30,9427.581
1992-05-31,9540.444
1992-06-30,9540.444
1992-07-31,9540.444
1992-08-31,9643.893
1992-09-30,9643.893
1992-10-31,9739.185
1992-11-30,9739.185
1992-12-31,9739.185
1993-01-31,9840.753
1993-02-28,9840.753
1993-03-31,9840.753
1993-04-30,9857.185
1993-05-31,9857.185
1993-06-30,9857.185
1993-07-31,9914.565
1993-08-31,9914.565
1993-09-30,9914.565
1993-10-31,9961.873
1993-11-30,9961.873
1993-12-31,9961.873
1994-01-31,10097.362
1994-02-28,10097.362
1994-03-31,10097.362
1994-04-30,10195.338
1994-05-31,10195.338
1994-06-30,10195.338
1994-07-31,10333.495
1994-08-31,10333.495
1994-09-30,10333.495
1994-10-31,10393.898
1994-11-30,10393.898
1994-12-31,10393.898
1995-01-31,10512.962
1995-02-28,10512.962
1995-03-31,10512.962
1995-04-30,10550.251
1995-05-31,10550.251
1995-06-30,10550.251
1995-07-31,10581.723
1995-08-31,10581.723
1995-09-30,10581.723
1995-10-31,10671.738
1995-11-30,10671.738
1995-12-31,10671.738
1996-01-31,10671.738
1996-02-29,10744.203
1996-03-31,10744.203
1996-04-30,10744.203
1996-05-31,10824.674
1996-06-30,10824.674
1996-07-31,10824.674
1996-08-31,11005.217
1996-09-30,11005.217
1996-10-31,11103.935
1996-11-30,11103.935
1996-12-31,11103.935
1997-01-31,11219.238
1997-02-28,11219.238
1997-03-31,11219.238
1997-04-30,11291.665
1997-05-31,11291.665
1997-06-30,11291.665
1997-07-31,11479.33
1997-08-31,11479.33
1997-09-30,11479.33
1997-10-31,11622.911
1997-11-30,11622.911
1997-12-31,11622.911
1998-01-31,11722.722
1998-02-28,11722.722
1998-03-31,11722.722
1998-04-30,11839.876
1998-05-31,11839.876
1998-06-30,11839.876
1998-07-31,11949.492
1998-08-31,11949.492
1998-09-30,11949.492
1998-10-31,12099.191
1998-11-30,12099.191
1998-12-31,12099.191
1999-01-31,12294.737
1999-02-28,12294.737
1999-03-31,12294.737
1999-04-30,12410.778
1999-05-31,12410.778
1999-06-30,12410.778
1999-07-31,12514.408
1999-08-31,12514.408
1999-09-30,12514.408
1999-10-31,12679.977
1999-11-30,12679.977
1999-12-31,12679.977
2000-01-31,12888.281
2000-02-29,12888.281
2000-03-31,12888.281
2000-04-30,12935.252
2000-05-31,12935.252
2000-06-30,12935.252
2000-07-31,13170.749
2000-08-31,13170.749
2000-09-30,13170.749
2000-10-31,13183.89
2000-11-30,13183.89
2000-12-31,13183.89
2001-01-31,13262.25
2001-02-28,13262.25
2001-03-31,13262.25
2001-04-30,13219.251
2001-05-31,13219.251
2001-06-30,13219.251
2001-07-31,13301.394
2001-08-31,13301.394
2001-09-30,13301.394
2001-10-31,13248.142
2001-11-30,13248.142
2001-12-31,13248.142
2002-01-31,13284.881
2002-02-28,13284.881
2002-03-31,13284.881
2002-04-30,13394.91
2002-05-31,13394.91
2002-06-30,13394.91
2002-07-31,13477.356
2002-08-31,13477.356
2002-09-30,13477.356
2002-10-31,13531.741
2002-11-30,13531.741
2002-12-31,13531.741
2003-01-31,13549.421
2003-02-28,13549.421
2003-03-31,13549.421
2003-04-30,13619.434
2003-05-31,13619.434
2003-06-30,13619.434
2003-07-31,13741.107
2003-08-31,13741.107
2003-09-30,13741.107
2003-10-31,13970.157
2003-11-30,13970.157
2003-12-31,13970.157
2004-01-31,14131.379
2004-02-29,14131.379
2004-03-31,14131.379
2004-04-30,14212.34
2004-05-31,14212.34
2004-06-30,14212.34
2004-07-31,14323.017
2004-08-31,14323.017
2004-09-30,14323.017
2004-10-31,14457.832
2004-11-30,14457.832
2004-12-31,14457.832
2005-01-31,14605.595
2005-02-28,14605.595
2005-03-31,14605.595
2005-04-30,14767.846
2005-05-31,14767.846
2005-06-30,14767.846
2005-07-31,14839.707
2005-08-31,14839.707
2005-09-30,14839.707
2005-10-31,14956.291
2005-11-30,14956.291
2005-12-31,14956.291
2006-01-31,15041.232
2006-02-28,15041.232
2006-03-31,15041.232
2006-04-30,15244.088
2006-05-31,15244.088
2006-06-30,15244.088
2006-07-31,15281.525
2006-08-31,15281.525
2006-09-30,15281.525
2006-10-31,15304.517
2006-11-30,15304.517
2006-12-31,15304.517
2007-01-31,15433.643
2007-02-28,15433.643
2007-03-31,15433.643
2007-04-30,15478.956
2007-05-31,15478.956
2007-06-30,15478.956
2007-07-31,15577.779
2007-08-31,15577.779
2007-09-30,15577.779
2007-10-31,15671.605
2007-11-30,15671.605
2007-12-31,15671.605
2008-01-31,15767.146
2008-02-29,15767.146
2008-03-31,15767.146
2008-04-30,15702.906
2008-05-31,15702.906
2008-06-30,15702.906
2008-07-31,15792.773
2008-08-31,15792.773
2008-09-30,15792.773
2008-10-31,15709.562
2008-11-30,15709.562
2008-12-31,15709.562
2009-01-31,15366.607
2009-02-28,15366.607
2009-03-31,15366.607
2009-04-30,15187.475
2009-05-31,15187.475
2009-06-30,15187.475
2009-07-31,15161.772
2009-08-31,15161.772
2009-09-30,15161.772
2009-10-31,15216.647
2009-11-30,15216.647
2009-12-31,15216.647
2010-01-31,15379.155
2010-02-28,15379.155
2010-03-31,15379.155
2010-04-30,15456.059
2010-05-31,15456.059
2010-06-30,15456.059
2010-07-31,15605.628
2010-08-31,15605.628
2010-09-30,15605.628
2010-10-31,15726.282
2010-11-30,15726.282
2010-12-31,15726.282
2011-01-31,15807.995
2011-02-28,15807.995
2011-03-31,15807.995
2011-04-30,15769.911
2011-05-31,15769.911
2011-06-30,15769.911
2011-07-31,15876.839
2011-08-31,15876.839
2011-09-30,15876.839
2011-10-31,15870.684
2011-11-30,15870.684
2011-12-31,15870.684
2012-01-31,16048.702
2012-02-29,16048.702
2012-03-31,16048.702
2012-04-30,16179.968
2012-05-31,16179.968
2012-06-30,16179.968
2012-07-31,16253.726
2012-08-31,16253.726
2012-09-30,16253.726
2012-10-31,16282.151
2012-11-30,16282.151
2012-12-31,16282.151
2013-01-31,16300.035
2013-02-28,16300.035
2013-03-31,16300.035
2013-04-30,16441.485
2013-05-31,16441.485
2013-06-30,16441.485
2013-07-31,16464.402
2013-08-31,16464.402
2013-09-30,16464.402
2013-10-31,16464.402
2013-11-30,16594.743
2013-12-31,16594.743
2014-01-31,16712.76
2014-02-28,16712.76
2014-03-31,16712.76
2014-04-30,16654.247
2014-05-31,16654.247
2014-06-30,16654.247
2014-07-31,16868.109
2014-08-31,16868.109
2014-09-30,16868.109
2014-10-31,17064.616
2014-11-30,17064.616
2014-12-31,17064.616
2015-01-31,17141.235
2015-02-28,17141.235
2015-03-31,17141.235
2015-04-30,17280.647
2015-05-31,17280.647
2015-06-30,17280.647
2015-07-31,17380.875
2015-08-31,17380.875
2015-09-30,17380.875
2015-10-31,17437.08
2015-11-30,17437.08
2015-12-31,17437.08
2016-01-31,17462.579
2016-02-29,17462.579
2016-03-31,17462.579
2016-04-30,17565.465
2016-05-31,17565.465
2016-06-30,17565.465
2016-07-31,17618.581
2016-08-31,17618.581
2016-09-30,17618.581
2016-10-31,17724.489
2016-11-30,17724.489
2016-12-31,17724.489
2017-01-31,17812.56
2017-02-28,17812.56
2017-03-31,17812.56
2017-04-30,17896.623
2017-05-31,17896.623
2017-06-30,17896.623
2017-07-31,17996.802
2017-08-31,17996.802
2017-09-30,17996.802
2017-10-31,18126.226
2017-11-30,18126.226
2017-12-31,18126.226
2018-01-31,18296.685
2018-02-28,18296.685
2018-03-31,18296.685
2018-04-30,18436.262
2018-05-31,18436.262
2018-06-30,18436.262
2018-07-31,18590.004
2018-08-31,18590.004
2018-09-30,18590.004
2018-10-31,18679.599
2018-11-30,18679.599
2018-12-31,18679.599
2019-01-31,18679.599
2019-02-28,18721.281
2019-03-31,18721.281
2019-04-30,18833.195
2019-05-31,18833.195
2019-06-30,18833.195
2019-07-31,18982.528
2019-08-31,18982.528
2019-09-30,18982.528
2019-10-31,19112.653
2019-11-30,19112.653
2019-12-31,19112.653
2020-01-31,19202.31
2020-02-29,19202.31
2020-03-31,19202.31
2020-04-30,18951.992
2020-05-31,18951.992
2020-06-30,18951.992
2020-07-31,17258.205
2020-08-31,17258.205
2020-09-30,17258.205
2020-10-31,18560.774
2020-11-30,18560.774
2020-12-31,18560.774
2021-01-31,18767.778
2021-02-28,18767.778
2021-03-31,18767.778
2021-04-30,19055.655
2021-05-31,19055.655
2021-06-30,19055.655
2021-07-31,19368.31
2021-08-31,19368.31
2021-09-30,19368.31
2021-10-31,19478.893
2021-11-30,19478.893
2021-12-31,19478.893
